# Program:featureCounts v2.0.3; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-p" "--ignoreDup" "-M" "--fraction" "-T" "16" "-G" "./reference/Saccharomyces_cerevisiae.R64-1-1.106.fa" "-p" "--countReadPairs" "-a" "./reference/Saccharomyces_cerevisiae.R64-1-1.106.gtf" "-o" "./read_counts_v2/read_counts_table" "./dedup_v2/VM-1_S1_L001.sorted.dedup.bam" "./dedup_v2/VM-2_S2_L001.sorted.dedup.bam" "./dedup_v2/VM-3_S3_L001.sorted.dedup.bam" "./dedup_v2/VM-4_S4_L001.sorted.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	./dedup_v2/VM-1_S1_L001.sorted.dedup.bam	./dedup_v2/VM-2_S2_L001.sorted.dedup.bam	./dedup_v2/VM-3_S3_L001.sorted.dedup.bam	./dedup_v2/VM-4_S4_L001.sorted.dedup.bam
YDR191W	IV	842337	843449	+	1113	152.34	121.63	185.93	173.00
YDR451C	IV	1361120	1362181	-	1062	335.50	118	406	168.50
YDR469W	IV	1399015	1399542	+	528	642.10	552.17	793	737
YDR470C	IV	1399706	1401214	-	1509	710	528.25	856.50	792.75
YDR105C	IV	665349	666770	-	1422	1139	764.67	1192.12	1095
YDR483W	IV	1421157	1422485	+	1329	4718.83	3349.58	4864.63	4761.38
YDL123W	IV	241418	241840	+	423	397.50	535	378.25	702
YDL199C	IV	101290	103353	-	2064	447.02	695.17	426.50	928.78
YDR505C	IV	1456695	1459220	-	2526	2284.55	2337.25	2476.46	3330.46
YDL045W-A	IV	372248	372535	+	288	574.50	320	701	453
YDL045C	IV	372688	373608	-	921	659	656.16	770.83	1063.77
YDR361C	IV	1195412	1196263	-	852	1611	602	1914.03	951.57
YDR406W-A	IV	1283799	1284044	+	246	2.56	2.50	3.50	7
YDR199W	IV	854175	854540	+	366	6	1	2.07	3
YDR266C	IV	1000104	1002023	-	1920	3495.15	1997	4065.31	2832.52
YDL242W	IV	18959	19312	+	354	9	7	4	9
YDR002W	IV	453045	453650	+	606	2368.50	1486	2869.25	2066
YDR214W	IV	892875	893927	+	1053	4804.61	3102.50	4863.67	4182.92
YDR130C	IV	715747	716622	-	876	245	221.17	268.25	302
YDL176W	IV	142097	144223	+	2127	491.50	324.31	528.06	428.25
YDR358W	IV	1190059	1191732	+	1674	757.61	1372	988.25	1891.50
YDR544C	IV	1525095	1525523	-	429	56.83	51.27	90.79	79.66
YDR460W	IV	1383811	1384776	+	966	206	150	222.22	217
snR84	IV	1492477	1493026	-	550	2550.33	1606.33	2286.50	2179.50
YDR034W-B	IV	521314	521469	+	156	55.89	548.50	82	868.22
YDL028C	IV	400997	403291	-	2295	861.06	573.15	1043	860.55
YDR061W	IV	574164	575783	+	1620	364.19	264.10	427	328.79
YDR060W	IV	570649	573726	+	3078	6890.34	2489	7911.15	3607.50
YDR169C-A	IV	794574	794723	-	150	13	20	14	17
YDR363W	IV	1199183	1200553	+	1371	454.14	279.07	527.63	433.04
YDR422C	IV	1315326	1317773	-	2448	2494.00	1571.87	2583.50	2258.74
YDR119W	IV	688227	690533	+	2307	5686.99	2125.30	5641.57	2934.62
tR(ACG)D	IV	619969	620041	-	73	9	4	8.60	9
YDR097C	IV	640109	643837	-	3729	1327.79	907.50	1487.25	1328.12
YDR042C	IV	540601	541203	-	603	464.73	244.20	538.58	253.30
YDL160C	IV	170410	171930	-	1521	5325.62	4254.08	5954.38	5948.08
YDR425W	IV	1320064	1321941	+	1878	1171.92	1475.50	1419.75	2103.38
snR13	IV	1402919	1403042	+	124	666.25	398	715	509.67
YDR228C	IV	921926	923806	-	1881	1486.21	1063.75	1852.68	1547.36
YDR319C	IV	1105003	1105827	-	825	756.71	1022.50	840.50	1336.25
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	7891.00	4308.17	8989.50	5827.50
YDR089W	IV	622112	624721	+	2610	783.62	499	907.58	643
tD(GUC)D	IV	568964	569035	+	72	1.75	0.88	1.50	2.45
YDR275W	IV	1012252	1012959	+	708	252.25	110.25	285	209
YDR043C	IV	542674	543369	-	696	479.31	741	621.17	994.12
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	5352.50	6726.42	5549.58	9035.92
YDR136C	IV	727711	728283	-	573	8	7	5	3.08
YDL066W	IV	334835	336121	+	1287	8509.31	5202.83	9281.48	7090.17
YDR302W	IV	1067731	1068390	+	660	537	317	687	483
YDR239C	IV	941057	943420	-	2364	1195.35	691.57	1272.96	950.66
YDR539W	IV	1512094	1513605	+	1512	1642	1277	1628.06	1717.85
tK(CUU)D1	IV	1201750	1201822	+	73	1	0	1	6.12
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	1956.17	1569.04	2104	2101.67
YDR493W	IV	1436217	1436588	+	372	681	301	806	431
YDR101C	IV	655686	657467	-	1782	3604.50	1338.25	3961.35	1919.08
YDR182W-A	IV	829151	829354	+	204	27	23.50	31	21.50
YDR212W	IV	887232	888911	+	1680	3439.42	1872.65	3422.40	2654.17
YDR476C	IV	1410453	1411127	-	675	1742.50	1632.33	1553.33	2081.50
YDL131W	IV	227393	228715	+	1323	4306.25	2005.67	4470.17	2767.67
YDR458C	IV	1380055	1382046	-	1992	1016.38	724.17	1122.60	989.71
YDR081C	IV	607304	610081	-	2778	2730.30	1747.25	3137.00	2435.00
YDL071C	IV	330666	331040	-	375	72	32	75	64
YDR113C	IV	680496	681617	-	1122	355.39	374.74	411.67	510.86
YDR168W	IV	790328	791848	+	1521	2792.47	2508.92	3257.38	3493.32
YDR520C	IV	1481085	1483403	-	2319	854.33	706.17	995	1083.67
YDR307W	IV	1075865	1077853	+	1989	1400.94	1094.25	1587.24	1630.39
YDR265W	IV	998864	999877	+	1014	229	206.50	294.58	294
YDL076C	IV	320668	321552	-	885	519.50	463.08	579.50	691.94
YDL006W	IV	439909	440754	+	846	358	291.25	398.50	397.75
YDL086W	IV	301413	302234	+	822	3345	2251.25	3426.50	3007.50
YDR238C	IV	937895	940816	-	2922	8644.83	6198.52	9496.95	8584.75
YDR077W	IV	600793	601809	+	1017	97191.67	58578.21	101020.54	69752.63
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	269	143	321.42	223
YDL023C	IV	411761	412081	-	321	4.10	1	3	6
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	4465.33	2024	4777.06	2752.00
YDR036C	IV	523211	524713	-	1503	3318.50	1732	3480.27	2298.92
YDR057W	IV	565927	567555	+	1629	891.68	699.25	1024.25	948.70
YDR513W	IV	1471017	1471448	+	432	2594	1824	2898.50	2528.92
YDR487C	IV	1428354	1428980	-	627	3423	2258	3895.42	2986.75
YDR066C	IV	581908	582498	-	591	135	87	132	102.17
YDR352W	IV	1181801	1182754	+	954	760.03	413.25	878.25	534.56
YDR278C	IV	1017001	1017318	-	318	11.75	13.75	2.25	1.75
YDR079C-A	IV	603593	603811	-	219	86	33	92	57
YDR204W	IV	858137	859144	+	1008	1094.06	920	1316.06	1461
YDL247W-A	IV	3762	3836	+	75	137	123.50	158	188
YDL024C	IV	408451	409857	-	1407	44	104.12	51.50	137.03
tA(AGC)D	IV	410379	410451	+	73	0	1.10	1.10	0.20
YDR109C	IV	673520	675667	-	2148	486.17	353	486.25	484
YDR466W	IV	1395121	1397817	+	2697	2300.83	1646.75	2552.50	2326.15
YDR427W	IV	1322205	1323386	+	1182	3059.50	2474.42	3836.83	3798.25
YDL044C	IV	373967	375289	-	1323	526	354.25	730.27	531.50
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	278.82	224.29	293.97	325
YDR193W	IV	844554	844952	+	399	0.10	0	0	1
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	534	380	686	581.25
YDR377W	IV	1228611	1228916	+	306	1475.07	1037	1701.12	1486
YDR219C	IV	905455	906852	-	1398	485	334.64	610.86	501.50
YDR416W	IV	1298432	1301011	+	2580	699.28	374.73	807.85	569.87
YDR365C	IV	1204497	1206383	-	1887	1166.28	510.50	1324.20	710.76
YDL233W	IV	36797	38173	+	1377	733.67	953.25	816.25	1384.50
YDR287W	IV	1035995	1036873	+	879	453.33	334	500.50	484.20
YDR448W	IV	1356065	1357369	+	1305	485.40	398	546.67	588
YDR180W	IV	821295	825776	+	4482	2775.93	773.89	3204.42	1070.33
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	25	3	19	14
tT(AGU)D	IV	434264	434336	-	73	35	31	28.21	36
YDR294C	IV	1050459	1052228	-	1770	4701.91	3144.33	4896.08	4456.43
YDR198C	IV	852533	853972	-	1440	971.42	500	1092.13	795.33
YDL163W	IV	166956	167258	+	303	0	0	1	1
YDL119C	IV	246689	247612	-	924	409	527.50	554	760.25
YDR501W	IV	1451353	1452918	+	1566	113.33	81	150.75	148.31
YDL214C	IV	74446	76545	-	2100	84.00	121	99.44	176
YDR264C	IV	996029	998323	-	2295	3047.58	1787.23	2991.06	2547.50
YDR343C	IV	1159608	1161320	-	1713	2690.42	1587.83	2970.94	2306.94
YDR373W	IV	1222759	1223331	+	573	811.12	679	894.10	978
YDR354W	IV	1184747	1185889	+	1143	1822.17	1163.33	1940.70	1603.25
YDR246W	IV	954288	954947	+	660	1070	1121.75	1375.50	1594.57
YDR428C	IV	1323454	1324239	-	786	576	293.25	734	455.50
YDR157W	IV	769931	770332	+	402	362.17	207.50	334.25	257.87
YDR316W	IV	1093763	1095178	+	1416	538.01	222.11	717.08	303.55
YDL142C	IV	201719	202570	-	852	549	709.75	663.50	1048.50
YDR253C	IV	963990	964565	-	576	34	48	42.17	55.11
YDL112W	IV	258915	263225	+	4311	6234.50	2833	6679.83	3918.28
YDR545W	IV	1526321	1531711	+	5391	403.34	445.48	508.01	682.58
YDL187C	IV	125509	125838	-	330	58.25	33	72	58.25
YDL138W	IV	213351	215642	+	2292	2197	1602	2293.92	2070
YDR528W	IV	1494586	1495857	+	1272	1907	745.50	2453	1150
YDR284C	IV	1030550	1031419	-	870	1157.33	967	1350.44	1352.58
YDR050C	IV	555726	556472	-	747	7740.58	4873	7776.68	6592.58
YDL010W	IV	432330	433025	+	696	257	479.30	293	678.12
YDL065C	IV	336249	337277	-	1029	541.61	353.87	683.88	478.12
YDR349C	IV	1172386	1174176	-	1791	5252.72	4463.72	5587.31	5937.64
YDL098C	IV	284581	285165	-	585	274	196	376	300
YDL234C	IV	34237	36477	-	2241	2398.75	7747.33	3114	10204.76
YDR118W	IV	685882	687840	+	1959	346.01	233	466.29	379.12
YDR118W-A	IV	687768	687884	+	117	7	4	10	8.50
YDR159W	IV	771877	775782	+	3906	3233.81	2412.33	3968.36	3609.13
YDR111C	IV	678241	679764	-	1524	447.33	304.11	443.78	414.28
YDR128W	IV	709549	712995	+	3447	2755.05	1498.58	2830.50	1977.03
YDL034W	IV	391783	392127	+	345	5.50	3.50	3.80	9.25
YDR065W	IV	580687	581784	+	1098	260.50	171.28	308.27	251.25
YDL004W	IV	443029	443511	+	483	1683	1021	1987.83	1329
YDR024W	IV	491017	491502	+	486	193.82	108.75	247.50	158.75
YDL171C	IV	149203	155640	-	6438	19914.85	10371.52	20043.07	13734.29
YDR083W	IV	612073	613251	+	1179	1491.70	529.67	1848.08	734.75
YDR457W	IV	1369790	1379596	+	9807	19466.33	12001.04	20410.51	16430.69
YDR014W	IV	474046	475989	+	1944	489.63	274.10	542.75	401.20
YDR206W	IV	862054	864708	+	2655	2512.33	1453.08	2633.18	2065.50
YDR478W	IV	1414575	1415171	+	597	168	90	269.17	118
YDR169C	IV	792348	793889	-	1542	1161.92	1322.88	1388.50	1883.57
YDR115W	IV	682175	682492	+	318	885.80	352	1006	489
YDL159W-A	IV	172182	172313	+	132	0	0	0	0
YDL232W	IV	38487	38597	+	111	205	96	197	157
YDL240C-A	IV	22471	22608	-	138	0	0	1	0
tE(CUC)D	IV	1017207	1017278	-	72	6.75	1.75	2.25	1.75
YDL152W	IV	182822	183187	+	366	2	0	0	1
YDR432W	IV	1328783	1330027	+	1245	6856.54	6588.15	6947.17	8145.92
YDL022C-A	IV	409808	410056	-	249	0	1	0.50	3
YDL114W-A	IV	254935	255048	+	114	13	7	12	6
YDR410C	IV	1292372	1293091	-	720	1278.25	925	1388	1270.92
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	2
YDL072C	IV	329836	330447	-	612	1501	2265.75	1543.58	3183.83
YDR053W	IV	560249	560644	+	396	1	4.27	2	2
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	1686	1666.81	1961.50	2305.33
YDR482C	IV	1420431	1420838	-	408	117.50	115	171	134
YDL070W	IV	331024	332940	+	1917	1796.96	3519.30	2074.53	4604.83
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	9621.55	4821.50	10080.17	6497.67
YDL135C	IV	218680	219288	-	609	1334.25	2745	1663	3688.26
YDL077C	IV	316971	320120	-	3150	1734.92	1309.17	1826.35	1897.87
YDR354C-A	IV	1185139	1185282	-	144	1	0	0	1
YDL033C	IV	392659	393912	-	1254	732.25	350	781.50	509.75
YDL031W	IV	394217	397204	+	2988	3285.22	1253.50	3825.33	1810.10
YDR398W	IV	1267471	1269402	+	1932	2419.67	990.95	2608.88	1438.33
YDR326C	IV	1120609	1124925	-	4317	6336.82	4395.33	6610.75	5970.53
YDL052C	IV	362672	363583	-	912	2003.06	1180.25	2113.00	1583.12
YDR536W	IV	1508005	1509714	+	1710	22.50	231	21.17	317
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	166	85	182	151.25
YDL116W	IV	251566	253746	+	2181	1931.82	1275	2125.10	1812.40
YDR028C	IV	497835	500879	-	3045	5603.62	4304.58	6389.12	5997.12
YDL007W	IV	438047	439360	+	1314	1618.06	1203.50	1940.25	1738.42
YDR236C	IV	935236	935892	-	657	461	389	517.33	553
YDR011W	IV	465919	470424	+	4506	7774.79	5272.77	8324.45	7282.89
YDR155C	IV	768512	769000	-	489	8036.83	6423.58	7605.00	8297.63
YDR414C	IV	1295598	1296686	-	1089	707.89	416	693.83	610.46
YDR026C	IV	492556	494268	-	1713	783.19	514.56	959.50	784.88
YDL073W	IV	326613	329567	+	2955	1966.40	1277.72	2084.30	1927.58
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	0	0	1	1
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	287	258	334.04	337.50
YDL145C	IV	194571	198176	-	3606	14956.52	8940.25	15549.46	12141.67
YDR203W	IV	857682	857999	+	318	3	1	2	0
YDL104C	IV	273653	274876	-	1224	194.22	94.53	226.50	137.50
YDL149W	IV	184925	187918	+	2994	406	512	462.56	722.08
YDR231C	IV	926293	926910	-	618	309.75	188.23	357.33	286.53
YDR045C	IV	547978	548310	-	333	139	37	113	57
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	1768	728	1942.17	1028.75
YDR415C	IV	1297037	1298161	-	1125	863.30	596	905.47	860.50
YDR339C	IV	1149951	1150520	-	570	1259.38	701.88	1485.25	997.10
YDL213C	IV	77289	77966	-	678	2025.50	972	2779.00	1395.50
YDR096W	IV	637139	639823	+	2685	2748.00	2110.98	3209.78	2969.50
YDL019C	IV	417663	421514	-	3852	2503.19	1665.54	2550.02	2259.54
YDL022W	IV	411825	413000	+	1176	3610.00	8385.05	3541.50	10591.36
YDR413C	IV	1294836	1295411	-	576	11.50	6	9	11
YDR391C	IV	1257358	1258056	-	699	823	906	970	1340.03
YDR091C	IV	626708	628534	-	1827	6197.52	3334.93	6911.58	4460.42
YDR240C	IV	943674	945152	-	1479	720.68	668.58	837.79	917.56
YDL244W	IV	16204	17226	+	1023	122.67	85.75	161.89	136.58
YDR179C	IV	818708	819196	-	489	54.17	24	60	36.75
YDL165W	IV	164290	164865	+	576	624.75	393.25	718.25	539
YDL140C	IV	205360	210561	-	5202	40008.55	25047.74	41238.71	31781.92
YDR120C	IV	691549	693261	-	1713	2866.50	1280	3523.17	1817.00
YDR003W	IV	454122	454754	+	633	122.75	211.50	134	231.50
YDR499W	IV	1447830	1450073	+	2244	609.67	487	753.90	715.92
YDR166C	IV	786306	789221	-	2916	2891.03	2129.44	3179.92	2925.14
YDL092W	IV	292781	293221	+	441	516.67	267	622.00	425.08
YDL041W	IV	378102	378455	+	354	4.42	1	3.75	4.86
YDL241W	IV	20635	21006	+	372	448	312	561	496
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	8199.87	3951.67	8792.75	5322.01
YDR277C	IV	1014401	1015702	-	1302	995	750	1094.44	984.08
YDR291W	IV	1039728	1042961	+	3234	1243.50	652.83	1401.43	976.14
YDR475C	IV	1407464	1410094	-	2631	978.72	613.55	1080.50	891
YDR244W	IV	950563	952401	+	1839	770.91	466	876.17	643.25
YDR407C	IV	1284069	1287938	-	3870	3424.11	2847.89	3732.62	3868.73
YDR382W	IV	1239492	1239824	+	333	3688.67	1911.04	3464.00	2383.58
YDR102C	IV	657648	657980	-	333	60.44	48.35	79.55	78.22
YDL188C	IV	123865	124998	-	1134	1920.96	1372.60	1909.29	1716.67
YDR405W	IV	1277646	1278437	+	792	1379	838	1652	1225.25
YDR443C	IV	1345676	1349938	-	4263	3879.97	3159.75	4221.64	4356.83
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	1246.33	1813.20	1484.25	2506.58
YDR144C	IV	744311	746101	-	1791	3352.17	3013.33	3528.07	4109.21
YDL157C	IV	174232	174588	-	357	604	323.50	714.96	460.50
YDL058W	IV	345665	351037	+	5373	4494.25	2635.61	4805.61	3716.25
YDL096C	IV	286998	287324	-	327	4	2.25	6	2
YDL155W	IV	176773	178056	+	1284	980	730	1136	1002
YDR147W	IV	751631	753235	+	1605	576	415.45	681.00	623.58
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	6651.08	3795	7415.12	4881.67
YDL128W	IV	232652	233887	+	1236	3329.42	897.67	3484	1290.10
YDR310C	IV	1081128	1084316	-	3189	3248.63	2564.17	3589.91	3798.00
YDL160C-A	IV	169366	169608	-	243	240	193	338	263
YDR127W	IV	704484	709250	+	4767	14578.38	7425.32	14542.37	9794.51
YDR497C	IV	1443713	1445467	-	1755	3896.25	3057.39	3978.83	4153.00
YDL162C	IV	167359	167715	-	357	7	2.50	4	7.12
tS(AGA)D3	IV	1305630	1305712	+	83	3	2	2	2
YDR201W	IV	856317	856814	+	498	72	64.75	86.50	98
YDR163W	IV	781423	781950	+	528	268.04	172	339	279.33
YDL146W	IV	192750	194225	+	1476	431.50	464.50	436.99	609.75
YDR363W-A	IV	1202128	1202397	+	270	665.33	445	748.75	669.33
YDL221W	IV	62011	62562	+	552	35	80	58.75	116
YDL089W	IV	296820	298274	+	1455	803	570	1025	876
YDR385W	IV	1243230	1245758	+	2529	33363.86	17839.76	32166.98	22513.56
YDR331W	IV	1129588	1130823	+	1236	1500	988	1859.11	1345.03
YDR196C	IV	850274	850999	-	726	445.71	293	550	434.42
YDR116C	IV	682724	683581	-	858	1433.38	721	1768.50	1003.73
YDR001C	IV	450220	452475	-	2256	3317.75	4211.21	3397.35	5911.12
YDL230W	IV	42700	43707	+	1008	397.75	493.25	449.25	699.50
YDR160W	IV	776163	778721	+	2559	625.83	419.25	603.65	664.85
YDR123C	IV	698554	699468	-	915	546.33	828.11	682.22	1251.11
YDR322W	IV	1110589	1111692	+	1104	3731.51	1665.12	1798.85	818.25
YDR040C	IV	535192	538467	-	3276	2821.03	3977.07	2907.95	5569.06
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	6954.10	3476.23	7321.21	4683.37
YDR046C	IV	548762	550576	-	1815	2469.58	1453	2413.00	1850.00
YDL057W	IV	351434	352420	+	987	195	208.75	208.33	295.75
YDL248W	IV	1802	2953	+	1152	1120.76	1230.83	1209.36	1696.53
YDR008C	IV	462252	462602	-	351	771.88	205	770.83	285.52
YDR029W	IV	501100	501414	+	315	0	0	0.50	0
YDR485C	IV	1424820	1427207	-	2388	1395.14	927.83	1752.30	1384.39
YDR408C	IV	1288215	1288859	-	645	590	283	605	383.06
YDR038C	IV	527422	530697	-	3276	3656.13	4220.25	3824.94	6008.10
YDL204W	IV	94605	95786	+	1182	1072.75	940.92	1121.08	1332.07
YDR019C	IV	484163	485365	-	1203	1199.12	527	1366	708
YDR477W	IV	1412373	1414274	+	1902	1660.25	1078.33	1644	1430
YDR254W	IV	965113	966489	+	1377	228.55	153.85	283.52	260.88
YDR514C	IV	1471548	1472999	-	1452	534.25	243.17	674.62	328
YDR296W	IV	1055212	1055892	+	681	561	241	701	305
YDL216C	IV	68997	70319	-	1323	226	194	308.65	300
YDL100C	IV	282112	283176	-	1065	5804.25	4256.25	6426.20	5746.17
YDL068W	IV	333500	333829	+	330	7	15.50	10.25	15
YDL026W	IV	404749	405060	+	312	0	1.05	0.05	0.67
YDL124W	IV	240259	241197	+	939	3258.92	3772	3714.25	4935.50
YDL227C	IV	46271	48031	-	1761	249.21	778.75	232	1080.10
YDL111C	IV	263313	264110	-	798	1285.20	758.50	1337	987.27
YDR324C	IV	1114433	1116763	-	2331	2993.83	983.59	3422.63	1527.92
YDL170W	IV	156318	157904	+	1587	964.50	706.25	981	937
YDR317W	IV	1102184	1103428	+	1245	115.67	118.17	125.21	147.79
YDR436W	IV	1334821	1336953	+	2133	1376.54	1702.18	1409.53	2178.66
YDR208W	IV	868224	870563	+	2340	3485.03	2514.31	4166.44	3763.83
YDR386W	IV	1246084	1247982	+	1899	229.42	187.50	260	266
YDR504C	IV	1456311	1456694	-	384	450.50	519.69	563	785
YDL220C	IV	62244	65018	-	2775	900.25	726.08	897	957
YDR396W	IV	1266295	1266795	+	501	26.50	7.50	29.70	17
YDR258C	IV	971808	974243	-	2436	3074.52	2259.29	3394.32	3015.64
YDR176W	IV	814452	816560	+	2109	930.95	648.73	1022.18	907.31
YDL099W	IV	283419	284444	+	1026	926.00	552.92	1125	835.33
YDR380W	IV	1234218	1236125	+	1908	254.58	2470.50	208.33	3539.00
YDL110C	IV	264512	264964	-	453	719.88	1241	912.70	1699.50
YDR148C	IV	753675	755066	-	1392	4157.50	3032.37	4572.91	4166.48
YDL201W	IV	99561	100421	+	861	1159.50	499	1370.50	741
YDL107W	IV	268921	269976	+	1056	148.06	74	194.13	97.50
YDR515W	IV	1473429	1474772	+	1344	827.07	382	1051	608
YDR133C	IV	720962	721297	-	336	1496	176.50	1552.61	239.61
YDR378C	IV	1229349	1229609	-	261	441	259	524	428
YDR473C	IV	1404445	1405854	-	1410	339.64	240	418	393
YDR403W	IV	1274602	1276212	+	1611	140.06	62.35	143.31	94
YDR268W	IV	1004004	1005143	+	1140	430.38	292	520.50	401.83
YDR409W	IV	1289406	1292120	+	2715	2251.60	1532.52	2420.93	2008.00
YDR173C	IV	810565	811632	-	1068	123.50	83	125.83	136.00
YDR187C	IV	836228	836746	-	519	5.08	4.25	5.32	3
YDR389W	IV	1252537	1254501	+	1965	4280.81	3538.77	4882.73	4758.25
YDR417C	IV	1301555	1301926	-	372	9	6	12.33	5
YDR165W	IV	784871	786205	+	1335	2204.64	934.40	2464.53	1396.23
YDL113C	IV	256633	258555	-	1923	807.75	966	830.20	1419.12
YDR426C	IV	1321629	1322006	-	378	5	2	7	5
YDR521W	IV	1483141	1483476	+	336	1	0	0	0
YDR086C	IV	616928	617170	-	243	1388	483	1587.25	706.75
YDL021W	IV	413953	414888	+	936	264.50	261	282.56	369.50
YDR023W	IV	489508	490896	+	1389	6108.03	2816	7094.14	4245.37
YDR394W	IV	1261681	1262967	+	1287	4032.25	3633.50	4691	4965.42
YDR320C-A	IV	1108280	1108498	-	219	1031.50	884	1144.33	1168.08
YDR003W-A	IV	454782	454904	+	123	126.75	169.50	134.25	273.75
YDR183W	IV	829585	830277	+	693	306	184.08	420.83	285
YDR245W	IV	952800	953981	+	1182	1599.50	820.50	1872.07	1230
YDR431W	IV	1328390	1328701	+	312	7	1	3	7
YDL154W	IV	178334	181039	+	2706	343.50	190	339.25	285.46
